zip,donations,total,total_population
20601,1425,35154.4,25517
20602,897,22974.03999999998,26550
20603,1449,54640.36000000012,31975
20604,58,1159.21,NA
20606,21,293.59999999999997,374
20607,578,12869.199999999992,10843
20608,26,960.7,860
20609,48,2305.4399999999996,1151
20610,40,2338.0399999999995,NA
20611,35,826.2,1634
20612,146,717.07,203
20613,1242,21712.14999999992,14020
20615,156,2400.2400000000016,421
20616,292,6938.1399999999985,6389
20617,122,2581.13,832
20618,111,3086.189999999999,406
20619,1321,50741.130000000056,15052
20620,163,5863.94,1369
20621,39,1845.489999999999,960
20622,383,17405.309999999994,6887
20623,103,2147.4399999999996,2997
20624,18,727.2300000000001,1409
20625,26,1835.3699999999997,646
20626,16,1488.6,304
20627,3,520.24,NA
20628,88,2661.529999999999,477
20630,57,8129.480000000001,301
20632,74,1660.4599999999996,432
20634,2590,41293.05999999995,6478
20636,1831,39801.99999999989,10805
20637,1342,50569.88999999994,5751
20639,4060,78700.29000000027,15793
20640,1132,23500.449999999957,10333
20645,104,2337.07,749
20646,5750,92164.8600000004,21951
20650,6687,111278.18000000074,14672
20653,2289,45948.46000000004,24274
20656,4,4,NA
20657,1350,80439.92000000038,19226
20658,11,1121.18,848
20659,3755,91069.19000000054,23312
20660,2,2000,0
20662,133,9742.390000000005,2876
20664,281,8245.47,3462
20667,30,1417.13,633
20670,19,705.89,1441
20674,209,9114.100000000006,848
20675,131,4188.69,2017
20676,691,23146.85999999999,3848
20677,10510,52261.30000000037,2416
20678,2547,50940.49999999995,12261
20680,44,1978.8,934
20684,75,3987.879999999999,1066
20685,1045,30678.48999999994,6942
20686,5,389.33,1775
20687,7,244.3,448
20688,2245,37209.47999999994,1749
20689,49,2773.0099999999993,2081
20690,735,14588.270000000004,905
20692,20,1091.63,899
20693,52,1714.5400000000006,833
20695,426,14520.069999999992,8089
20701,15,1439.86,92
20703,36,1705.4399999999998,NA
20705,805,22559.73999999999,27663
20706,1107,29126.840000000055,43670
20707,1548,34556.44999999992,32798
20708,789,54085.47,27843
20709,7,876.03,NA
20710,72,2001.2699999999995,9553
20711,727,37307.29999999996,7413
20712,173,4516.9000000000005,9608
20714,382,12063.769999999988,4683
20715,4184,142469.33000000103,27556
20716,1680,27480.630000000012,22237
20717,1,26.03,NA
20718,1,24.98,NA
20720,1111,34529.47999999995,22971
20721,535,14887.369999999986,29730
20722,233,3351.6400000000003,5728
20723,1100,43215.24999999997,35411
20724,696,11786.809999999992,17513
20725,12333,55055.410000000214,NA
20726,8,423.17,NA
20732,1193,30932.33999999991,9820
20733,781,35883.32,2777
20735,1180,22491.139999999927,38220
20736,765,36527.33999999994,9248
20737,225,5443.21,22295
20738,9,132,NA
20740,1193,56220.70999999998,31349
20741,34,671.36,NA
20742,1,1,6726
20743,183,4492.559999999999,37888
20744,2353,35052.24999999999,54925
20745,1032,53411.80999999974,27790
20746,140,2967.6399999999994,27041
20747,375,12687.24,40484
20748,653,14587.360000000004,38904
20749,83,79.14999999999999,NA
20750,4,102.06,NA
20751,672,10915.30000000001,2091
20753,7,250.49,NA
20754,1336,44534.28999999998,7124
20755,167,4977.139999999996,10873
20757,6,153.85,NA
20758,135,4327.030000000003,451
20759,1027,36052.18999999997,5311
20760,3,30.82,NA
20762,48,14706.78,3079
20763,71,3276.5099999999993,1635
20764,462,12968.499999999998,3829
20765,522,6221.2599999999975,407
20768,8,446.61,NA
20769,210,15896.250000000004,6222
20770,496,21328.50999999997,24560
20772,1389,31955.939999999937,45321
20773,22,1109.36,NA
20774,841,21914.559999999983,47165
20775,8,80,NA
20776,1963,65721.77000000003,3271
20777,293,20180.67,3687
20778,393,16143.259999999997,2079
20779,125,5277.000000000001,993
20781,158,10096.329999999998,11694
20782,7196,26050.830000000293,33398
20783,527,9823.730000000003,45302
20784,379,17513.350000000002,30270
20785,651,38606.709999999955,38878
20791,17,605.24,NA
20794,793,15510.410000000007,17939
20797,23,328.5799999999999,NA
20810,7,102.54999999999998,NA
20811,8,255,NA
20812,15,2051.1,309
20813,43,670.26,NA
20814,2487,202639.16000000053,29021
20815,3805,721210.8099999983,30664
20816,2495,284897.07999999885,16316
20817,3009,522987.4099999978,37315
20818,316,18863.17999999999,1971
20824,2,10,NA
20825,4,269.4,NA
20827,174,2008.82,NA
20830,20,467.1,NA
20832,3362,114980.55000000096,26437
20833,963,30259.05999999992,7369
20837,3241,57977.12000000006,6287
20838,24,941.08,302
20839,18,512.8499999999999,97
20841,744,21229.879999999983,11443
20842,136,10108.009999999997,1676
20849,62,737.24,NA
20850,5886,203583.64000000097,53176
20851,719,18287.63,15489
20852,4380,157263.340000001,46178
20853,2626,124813.38000000051,31061
20854,12131,944799.1799999998,49189
20855,2795,92437.87000000042,15287
20857,2,50,NA
20859,988,20682.46999999992,NA
20860,292,14416.610000000002,2855
20861,257,11465.850000000008,1449
20862,70,3784.6399999999976,341
20866,1219,25807.389999999996,16365
20868,122,2218.01,780
20871,4612,80923.96000000063,18628
20872,1755,39932.7499999999,12603
20874,4528,132768.29000000193,61087
20875,139,4183.309999999999,NA
20876,3321,59598.96000000026,30778
20877,4482,135030.5500000012,38423
20878,6764,261582.07000000097,63030
20879,1423,46258.66000000008,26164
20880,2579,3529.360000000013,547
20882,2077,55039.370000000104,13988
20883,8,379.61,NA
20884,1,1,NA
20885,26,173.35,NA
20886,2666,44448.79999999998,34834
20888,51,227.00000000000003,NA
20889,3,2,NA
20895,1821,84943.84000000029,19026
20896,54,6205.740000000002,775
20901,1373,39357.02999999992,36278
20902,2665,111594.10000000116,52908
20903,587,24608.239999999972,27973
20904,3751,162519.77000000112,55275
20905,1413,51927.54000000004,18662
20906,5229,113328.51000000157,70749
20907,40,632.9200000000002,NA
20908,1,20.24,NA
20910,4974,124519.65000000046,44301
20912,343,14698.359999999995,26140
20913,1,52.05,NA
20914,1,100,NA
20915,2,10.42,NA
20916,2,10,NA
20918,1,1,NA
20938,1,250,NA
21001,1059,32703.409999999927,24752
21005,51,1740.7099999999998,2872
21009,5140,66653.2000000004,29905
21010,4,76,211
21011,6,194,NA
21012,3137,92377.88000000056,21600
21013,1870,51311.059999999954,4768
21014,7659,148802.47000000265,36538
21015,4943,124358.7200000016,29199
21017,616,9860.279999999992,6983
21020,2,73.93,NA
21022,6,353.2,NA
21023,18,1727.7,NA
21028,651,12705.77,2783
21029,996,55820.07999999995,10895
21030,2511,108375.52000000064,24396
21031,3,121.07,0
21032,2557,106763.8800000004,8084
21034,196,4830.949999999999,3483
21035,1619,105207.05000000032,7957
21036,128,7781.639999999995,2112
21037,2560,132253.67000000077,21046
21040,1925,35919.79999999996,24166
21041,24,1808.51,NA
21042,5156,197983.37000000064,41195
21043,6185,122321.36000000112,47351
21044,2871,89628.98000000049,44256
21045,2114,65944.75000000004,40365
21046,1732,41757.79999999992,15655
21047,1600,55999.08000000003,12266
21048,1342,54494.54000000002,10276
21050,2703,80880.23000000008,18123
21051,23,1247.9199999999998,295
21052,33,576.63,211
21053,1337,18719.859999999982,3225
21054,1243,55027.50999999999,11199
21056,146,61699,158
21057,803,30587.21999999996,4232
21060,2913,77188.22000000016,34899
21061,4334,94884.25000000096,53860
21071,73,2712.2000000000007,581
21074,1937,41324.14,15166
21075,1098,38737.78999999992,33726
21076,1184,37133.1999999999,17442
21077,3,86.21000000000001,276
21078,3100,79610.61000000061,18366
21082,236,4434.750000000003,656
21084,1880,31766.83999999992,7603
21085,2769,60720.31000000001,16055
21087,2194,51768.68000000009,5394
21088,5,207.86,NA
21090,912,24629.47999999995,9991
21092,1,48.93,NA
21093,9103,260605.55000000255,37996
21094,15,371.92,NA
21102,1820,33108.76999999995,11787
21104,1121,24535.42999999998,5762
21106,2,73.93,NA
21108,2665,93759.31000000042,18782
21111,900,31044.06999999993,5387
21113,2621,93812.13000000056,34473
21114,5108,183088.8100000013,27303
21117,3482,100675.68000000092,59301
21120,1165,36591.729999999945,7095
21122,9814,198584.7000000016,61051
21123,23,811.1700000000001,NA
21128,1706,38107.33999999993,13985
21130,5,202,156
21131,986,53588.45,7282
21132,1935,26892.71999999997,3232
21133,853,11557.72999999996,33299
21136,5753,117010.2300000019,34177
21139,72,2126.1,NA
21140,372,14685.769999999997,3564
21144,4088,93118.1200000007,35335
21146,4267,170297.64000000138,27555
21150,2,260,NA
21152,506,25937.42999999998,5462
21153,84,9404.070000000003,447
21154,1432,32637.779999999988,5804
21155,225,8949.849999999999,2532
21156,38,1853.68,316
21157,4538,133764.6600000017,37749
21158,2036,62736.160000000025,20906
21160,432,7897.949999999998,2933
21161,855,25529.959999999937,5601
21162,327,8861.850000000008,4331
21163,2253,31190.8699999999,7030
21164,1,100,NA
21201,1094,21142.500000000044,17256
21202,492,22378.09999999997,21784
21203,13,4779.48,NA
21204,8428,189115.3200000032,21545
21205,80,3283.3199999999997,16239
21206,814,20841.259999999973,52020
21207,511,14736.519999999984,48872
21208,3218,69404.8800000002,35266
21209,1197,39362.56999999995,28309
21210,586,22138.40999999998,15553
21211,373,14625.330000000002,16370
21212,1784,57711.109999999935,33431
21213,222,5964.939999999996,31007
21214,930,10893.830000000007,21392
21215,1294,21237.409999999996,58283
21216,38,780.86,30179
21217,524,7613.850000000001,33644
21218,1068,22943.169999999973,47555
21219,1407,24274.23999999998,9550
21220,6821,123716.15000000082,41051
21221,3435,71861.3400000003,42078
21222,3186,58565.289999999986,55212
21223,189,5440.709999999999,22392
21224,4252,97096.64000000036,49332
21225,1693,20727.42999999996,34363
21226,355,6695.000000000005,6247
21227,1904,36017.46000000001,33589
21228,8380,190287.5699999994,48196
21229,1451,43146.99999999995,45921
21230,3292,42890.42000000036,34274
21231,156,11765.870000000004,15854
21234,4150,80660.86000000071,68381
21236,5367,102116.84000000118,39707
21237,1956,57059.060000000005,30129
21239,410,10179.439999999997,30424
21240,1,26.03,0
21241,2,75,NA
21244,549,13203.5,36394
21247,7,167.08,NA
21250,2,105.21,2367
21251,50,1973.96,965
21252,4,100,2383
21263,6,84.28,NA
21279,5,73,NA
21284,4,313.29999999999995,NA
21286,3403,97379.96999999994,19849
21287,1,1,NA
21401,8690,458704.35999999574,38315
